time, gyro_x, gyro_y, gyro_z, accel_x, accel_y, accel_z, N, p1id, p1x, p1y, p1z, ..., ..., ..., ..., pNid, pNx, pNy, pNz
1637211701.2502739429, 0, 0.001, 0.003, 0.00981, 0.05886, -9.7904, 
1637211701.2512769699, 0, 0.002, 0.002, 0.01962, 0.05886, -9.7904, 
1637211701.2563979626, 0, 0.004, 0.001, 0.03924, 0.05886, -9.7904, 
1637211701.2607901096, 0, 0.005, 0.001, 0.04905, 0.05886, -9.7904, 
1637211701.2693119049, 0, 0.006, 0, 0.06867, 0.05886, -9.7806, 
1637211701.2710449696, 0, 0.008, 0, 0.08829, 0.05886, -9.7806, 
1637211701.2761380672, 0, 0.01, -0.001, 0.10791, 0.05886, -9.7806, 
1637211701.2809169292, 0, 0.01, -0.002, 0.13734, 0.05886, -9.7904, 
1637211701.2861011028, 0, 0.01, -0.003, 0.15696, 0.05886, -9.8002, 
1637211701.2910070419, 0, 0.01, -0.004, 0.18639, 0.05886, -9.8002, 
1637211701.2961230278, 0, 0.009, -0.004, 0.21582, 0.05886, -9.8002, 
1637211701.3008708954, -0.001, 0.007, -0.004, 0.23544, 0.05886, -9.8002, 
1637211701.3062360287, 0, 0.006, -0.003, 0.25506, 0.04905, -9.8002, 
1637211701.3108210564, 0, 0.005, -0.002, 0.27468, 0.04905, -9.8002, 
1637211701.3162200451, 0, 0.003, -0.002, 0.28449, 0.04905, -9.8002, 
1637211701.3208720684, 0, 0.001, -0.001, 0.2943, 0.04905, -9.8002, 
1637211701.3261270523, 0, -0.001, 0, 0.28449, 0.05886, -9.8002, 
1637211701.3311650753, 0, -0.003, 0, 0.28449, 0.05886, -9.8002, 
1637211701.3374910355, 0, -0.005, 0.001, 0.27468, 0.07848, -9.8002, 
1637211701.3410139084, 0, -0.007, 0.001, 0.26487, 0.07848, -9.7904, 
1637211701.3460869789, 0, -0.008, 0.002, 0.24525, 0.07848, -9.7904, 
1637211701.3508689404, 0, -0.009, 0.003, 0.21582, 0.06867, -9.7806, 
1637211701.3562989235, 0, -0.01, 0.003, 0.18639, 0.06867, -9.7806, 
1637211701.3608300686, 0, -0.011, 0.003, 0.15696, 0.05886, -9.7806, 
1637211701.3711938858, 0, -0.011, 0.002, 0.08829, 0.04905, -9.7904, 
